B1,B2,B3,B4,B5,B6_VCID_2,B7,system:index,STATE,ELEV_IN_FT,POP_2010,id
41,39,39,45,48,205,40,450,OH,768,11195,2783
35,30,30,40,35,204,27,451,OH,879,38771,2785
32,26,23,23,18,196,15,452,NJ,30,277140,2791
27,21,17,56,32,196,15,453,NJ,157,64270,2792
30,24,23,57,35,195,19,454,NH,495,13355,2805
33,29,26,37,30,204,23,455,NH,66,29987,2808
37,30,28,33,29,196,23,456,NH,230,29752,2809
35,32,31,47,38,204,27,457,NH,226,11766,2810
30,25,22,50,30,202,18,458,NH,43,10345,2811
27,23,18,64,38,195,17,459,MI,581,51508,2813
42,40,41,51,43,202,30,460,WI,758,11459,2823
32,27,26,40,32,202,23,461,WI,784,11412,2825
28,24,19,65,38,198,20,462,WI,600,11250,2826
35,31,30,39,37,203,28,463,WI,896,31078,2829
33,31,29,59,44,202,27,464,WI,866,19749,2830
37,34,33,39,36,202,27,465,WI,981,14223,2831
30,25,22,48,28,198,19,466,WI,978,11300,2835
34,29,27,54,44,200,27,467,MI,617,38401,2870
42,41,43,54,58,202,46,468,MI,627,10856,2871
29,25,21,56,41,199,23,469,MI,610,23994,2873
41,41,42,57,54,203,41,470,WI,876,12611,2901
40,37,38,50,49,202,42,471,WI,955,29364,2902
43,44,47,55,60,202,45,472,WI,971,10619,2903
34,33,32,45,39,201,30,473,WI,928,12097,2904
27,25,20,83,50,193,25,474,WI,1020,25260,2905
36,36,37,45,42,199,29,475,WI,873,233209,2915
30,27,25,62,47,199,27,476,WI,938,17442,2919
34,31,30,53,42,202,30,477,MI,748,23537,2925
34,30,28,56,44,200,29,478,MI,751,10694,2927
47,45,45,49,41,203,30,479,MI,640,188040,2928
37,34,33,40,39,204,31,480,MI,604,15378,2929
36,32,32,45,43,203,33,481,MI,689,48707,2930
29,24,19,49,31,194,17,482,NH,20,20779,2932
36,30,29,39,31,203,24,483,NH,279,22015,2933
29,25,22,58,38,200,22,484,NH,413,11037,2937
27,23,19,68,46,192,22,485,MI,774,29999,2945
38,36,37,46,44,202,34,486,MI,906,11756,2948
41,40,42,49,52,204,42,487,MI,751,102434,2949
44,42,43,51,51,202,38,488,WI,984,11224,2981
36,32,31,44,38,203,28,489,NH,259,109565,2983
35,31,30,38,34,203,26,490,NH,161,86494,2984
41,39,40,51,60,203,46,491,MI,604,10412,2995
29,25,23,61,44,200,26,492,MI,610,33051,2996
35,32,31,49,46,200,32,493,WI,853,23861,3000
38,35,35,46,47,203,36,494,WI,787,12368,3004
29,27,23,61,38,200,22,495,WI,919,10518,3006
34,30,29,40,35,202,25,496,WI,817,70718,3008
28,24,20,58,38,195,21,497,WI,830,37920,3012
42,41,41,47,49,204,42,498,WI,856,35626,3020
34,34,32,64,54,201,35,499,WI,804,24135,3023
44,44,45,63,60,202,41,500,WI,922,39584,3025
51,54,56,72,70,204,44,501,WI,863,15759,3027
25,23,16,93,50,194,20,502,WI,817,13195,3030
34,32,28,72,50,200,28,503,WI,679,13162,3031
42,40,41,51,48,204,35,504,WI,666,21156,3032
39,35,36,45,47,202,34,505,WI,666,46396,3033
40,38,37,46,44,203,35,506,WI,728,60411,3034
31,28,25,61,41,199,26,507,WI,650,14110,3036
29,25,21,58,33,200,18,508,WI,653,12872,3037
38,36,36,61,52,201,35,509,WI,738,14046,3038
37,36,35,59,53,200,35,510,WI,778,36720,3039
38,37,36,53,48,202,32,511,WI,692,11999,3041
39,37,38,56,51,203,37,512,WI,807,35451,3043
